UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels ,Operational Hours,Failure Type
403,L47582,L,297.4,308.6,1678,32.3,54,130.94,No Failure
404,L47583,L,297.3,308.6,1273,59.8,55,131.29,No Failure
405,L47584,L,297.3,308.6,1297,45.9,54,131.65,No Failure
406,L47585,L,297.3,308.5,1350,57.6,34,132.00,No Failure
407,L47586,L,297.4,308.6,1439,51.9,33,132.35,No Failure
408,M15267,M,297.4,308.5,1600,42.1,23,132.71,No Failure
409,M15268,M,297.4,308.6,1434,44.4,24,133.06,No Failure
410,L47589,L,297.4,308.6,1459,41.3,36,133.42,No Failure
411,M15270,M,297.5,308.6,1472,44.9,34,133.77,No Failure
412,L47591,L,297.5,308.7,1429,44.3,35,134.13,No Failure
413,L47592,L,297.5,308.6,1388,48.2,36,134.48,No Failure
414,L47593,L,297.4,308.4,1573,34.5,37,134.84,No Failure
415,L47594,L,297.4,308.4,1588,32.5,38,135.19,No Failure
416,L47595,L,297.5,308.4,1511,42.8,39,135.55,No Failure
417,L47596,L,297.4,308.5,1495,37.8,40,135.90,No Failure
418,L47597,L,297.4,308.4,1394,50.1,34.56129032,136.25,No Failure
419,L47598,L,297.4,308.4,2151,17.7,34.27983871,136.61,No Failure
420,M15279,M,297.3,308.3,1501,38.2,33.9983871,136.96,No Failure
421,M15280,M,297.3,308.3,1301,39.6,33.71693548,137.32,No Failure
422,M15281,M,297.3,308.3,1657,31.1,33.43548387,137.67,No Failure
423,L47602,L,297.3,308.3,1333,55.2,33.15403226,138.03,No Failure
424,L47603,L,297.3,308.3,1484,43.9,32.87258065,138.38,No Failure
425,L47604,L,297.3,308.4,1430,45.7,32.59112903,138.74,No Failure
426,M15285,M,297.3,308.4,1665,28.9,32.30967742,139.09,No Failure
427,L47606,L,297.4,308.5,1501,44.9,32.02822581,139.45,No Failure
428,M15287,M,297.5,308.5,1496,42.2,31.74677419,139.80,No Failure
429,M15288,M,297.6,308.6,1595,36.9,31.46532258,140.15,No Failure
430,L47609,L,297.5,308.6,1208,62.3,31.18387097,140.51,No Failure
431,L47610,L,297.5,308.6,1596,37.1,30.90241935,140.86,No Failure
432,L47611,L,297.5,308.5,1446,41.9,30.62096774,141.22,No Failure
433,M15292,M,297.6,308.5,1466,39.7,30.33951613,141.57,No Failure
434,M15293,M,297.6,308.5,1848,23.7,30.05806452,141.93,No Failure
435,M15294,M,297.5,308.5,1484,44.7,29.7766129,142.28,No Failure
436,L47615,L,297.4,308.3,1493,41.2,29.49516129,142.64,No Failure
437,L47616,L,297.3,308.3,1504,36.3,29.21370968,142.99,No Failure
438,L47617,L,297.3,308.3,1538,38.5,28.93225806,143.35,No Failure
439,L47618,L,297.4,308.4,1341,52.2,28.65080645,143.70,No Failure
440,M15299,M,297.4,308.3,1535,34.6,28.36935484,144.05,No Failure
441,L47620,L,297.4,308.5,1389,39.2,28.08790323,144.41,No Failure
442,H29855,H,297.5,308.5,1393,46.6,27.80645161,144.76,No Failure
443,L47622,L,297.4,308.5,1399,61.5,27.525,145.12,Overstrain Failure
444,H29857,H,297.4,308.5,1469,45.1,27.24354839,145.47,Overstrain Failure
445,L47624,L,297.4,308.4,1582,37.2,26.96209677,145.83,No Failure
446,L47625,L,297.5,308.6,1793,26.7,26.68064516,146.18,No Failure
447,L47626,L,297.5,308.6,1452,39,26.39919355,146.54,No Failure
448,M15307,M,297.6,308.7,1376,59.9,26.11774194,146.89,No Failure
449,L47628,L,297.5,308.6,1552,44.9,25.83629032,147.25,No Failure
450,L47629,L,297.6,308.7,1622,37.9,25.55483871,147.60,No Failure
451,M15310,M,297.6,308.7,1419,41.7,25.2733871,147.95,Power Failure
452,H29865,H,297.5,308.6,1440,46.1,24.99193548,148.31,No Failure
453,M15312,M,297.4,308.6,1643,31,24.71048387,148.66,No Failure
454,L47633,L,297.4,308.7,1510,36.2,24.42903226,149.02,Tool Wear Failure
455,L47634,L,297.4,308.7,1468,46.6,24.14758065,149.37,Tool Wear Failure
456,L47635,L,297.4,308.7,1429,57.4,42,149.73,Tool Wear Failure
457,H29870,H,297.3,308.7,1478,47.6,52,150.08,No Failure
458,L47637,L,297.4,308.6,1276,53.6,44,150.44,No Failure
459,L47638,L,297.3,308.6,1486,42.6,52,150.79,No Failure
460,L47639,L,297.4,308.6,1476,42.3,44,151.15,No Failure
461,H29874,H,297.3,308.6,1431,42,35,151.50,No Failure
462,L47641,L,297.4,308.7,1402,40.2,36,151.85,No Failure
463,L47642,L,297.4,308.7,1433,43.4,33,152.21,No Failure
464,L47643,L,297.4,308.7,2874,4.2,23,152.56,No Failure
465,L47644,L,297.3,308.6,1511,35.7,45,152.92,No Failure
466,M15325,M,297.3,308.6,1456,42.9,55,153.27,No Failure
467,L47646,L,297.2,308.5,1550,41.5,45,153.63,No Failure
468,L47647,L,297.2,308.5,2182,16.5,34,153.98,No Failure
469,L47648,L,297.3,308.7,1619,31.6,34,154.34,No Failure
470,M15329,M,297.3,308.8,1586,32.7,23,154.69,No Failure
471,H29884,H,297.3,308.8,1499,44.2,42,155.05,No Failure
472,H29885,H,297.3,308.8,1419,42.4,54,155.40,No Failure
473,M15332,M,297.4,309,1497,41.8,55,155.75,No Failure
474,M15333,M,297.4,309,1520,37,54,156.11,No Failure
475,L47654,L,297.4,309.1,1478,49.8,34,156.46,No Failure
476,L47655,L,297.4,309.1,1380,41.1,33,156.82,No Failure
477,L47656,L,297.4,309,1570,37.9,23,157.17,No Failure
478,H29891,H,297.4,309,1468,41.4,24,157.53,No Failure
479,L47658,L,297.4,309,1833,22.6,36,157.88,No Failure
480,M15339,M,297.4,308.9,1323,57.3,34,158.24,No Failure
481,L47660,L,297.4,309,1583,32,35,158.59,No Failure
482,M15341,M,297.3,309,1556,39.5,36,158.95,No Failure
483,L47662,L,297.3,309,1548,37.4,37,159.30,No Failure
484,L47663,L,297.4,309,1324,56.9,38,159.65,No Failure
485,L47664,L,297.4,309,1568,33.7,39,160.01,No Failure
486,M15345,M,297.4,309,1685,30.7,40,160.36,No Failure
487,M15346,M,297.4,309.1,1582,35.9,42,160.72,No Failure
488,M15347,M,297.4,309.1,1463,35,52,161.07,No Failure
489,L47668,L,297.4,309.2,1584,42.8,44,161.43,No Failure
490,M15349,M,297.5,309.2,1347,55.8,52,161.78,No Failure
491,L47670,L,297.4,309.2,1459,37.9,44,162.14,No Failure
492,L47671,L,297.4,309.2,1420,45.6,35,162.49,No Failure
493,L47672,L,297.5,309.3,1404,43.5,36,162.85,No Failure
494,L47673,L,297.5,309.3,1470,38.8,33,163.20,No Failure
495,L47674,L,297.6,309.4,1326,49.8,23,163.55,No Failure
496,H29909,H,297.5,309.3,1459,49.7,45,163.91,No Failure
497,M15356,M,297.5,309.2,1530,40,55,164.26,No Failure
498,L47677,L,297.4,309,1505,39.2,45,164.62,No Failure
499,L47678,L,297.5,309.1,1611,30.2,34,164.97,No Failure
500,L47679,L,297.5,309.1,1515,35.1,34,165.33,No Failure
